UNIQUE_CARRIER_NAME,TOTAL_PASSENGERS,TOTAL_FREIGHT,TOTAL_MAIL
"Pace Airlines",1148742.0,142.0,0.0
"Pacific Airways, Inc.",61.0,56.0,0.0
"Pacific International Airlines Inc.",116232.0,0.0,0.0
"Pan American Airways Corp.",214721.0,0.0,0.0
"Pan American World Airways (1)",1.0364695E7,3.99646578E8,9.2742832E7
"Pan American World Airways",77517.0,502803.0,1000.0
"Panagra Airways",49559.0,0.0,0.0
"Patriot Airlines Inc.",0.0,7867113.0,0.0
"Peninsula Airways Inc.",587.0,3408.0,65.0
"Piedmont Airlines",727019.0,29811.0,13420.0
"Planet Airways",215810.0,0.0,0.0
"Polar Air Cargo Airways",51019.0,9.690313524E9,1099.0
"Polaris Aviation Solutions, LLC",40.0,500.0,0.0
"Prescott Support Company, Inc.",0.0,1599616.0,0.0
"Prestige Airways",48882.0,0.0,0.0
"Primaris Airlines Inc.",291327.0,0.0,0.0
"Private Jet Expeditions",850273.0,0.0,527.0
"Pro Air Inc.",798.0,0.0,0.0
"Promech",4.0,0.0,0.0
"Reeve Aleutian Airways Inc.",21.0,2020.0,7960.0
"Reliant Airlines",0.0,2475384.0,0.0
"Reno Air Inc.",477365.0,1584104.0,72492.0
"Renown Aviation",15074.0,445304.0,1604028.0
"Republic Airline",7260842.0,1946.0,0.0
"Rich International Airways",935666.0,0.0,0.0
"Ryan Air f/k/a Arctic Transportation",3.0,67746.0,0.0
"Ryan International Airlines",5891940.0,1.65769027E8,0.0
"Samoa Aviation Inc.",32096.0,212820.0,1691.0
"Scott Air LLC dba Island Air Express",65.0,0.0,0.0
"Scott Aviation, LLC  d/b/a  Silver Air",594.0,0.0,0.0
"Seaborne Virgin Islands, Inc.",701474.0,7429633.0,3231.0
"Seaport Airlines, Inc.",1171.0,0.0,0.0
"Shuttle America Corp.",4729948.0,0.0,28.0
"Sierra Pacific Airlines",21727.0,0.0,0.0
"Silver Airways",4248819.0,0.0,0.0
"Skagway Air Service",6.0,0.0,0.0
"Sky King Inc.",2001129.0,0.0,0.0
"Sky Lease Cargo",94941.0,2.505909818E9,0.0
"Sky Trek International Airlines",408001.0,0.0,0.0
"SkyWest Airlines Inc.",2.2032017E7,59553.0,10092.0
"Skyway Airlines",160062.0,0.0,0.0
"Smokey Bay Air Inc.",1.0,0.0,0.0
"Songbird Airways Inc.",92197.0,0.0,0.0
"Southeast Airlines",71530.0,0.0,0.0
"Southern Air Inc.",0.0,4.136518853E9,342640.0
"Southern Air Transport Inc.",0.0,9.76975247E8,8.0
"Southwest Airlines Co.",1.7523761E7,809639.0,495.0
"Spernak Airways Inc.",40.0,14984.0,961.0
"Spirit Air Lines",2.1783683E7,906370.0,85.0
"Sun Country Airlines d/b/a MN Airlines",9093228.0,7.2943006E7,3962.0
"Sun Pacific International",267727.0,7.0,0.0
"Sunworld International Airlines",307810.0,308151.0,0.0
